x,y,z,V,triangle
1.9147802928999980e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,77
1.9147802928999980e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,77
2.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,78
1.9147802928999980e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,78
2.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,78
1.9147802928999980e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,79
1.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,79
1.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,79
1.9147802928999980e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,80
1.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,80
1.9147802928999980e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,80
1.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,81
9.8412698410000132e-01,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,81
9.8412698410000132e-01,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,81
1.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,82
9.8412698410000132e-01,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,82
1.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,82
9.8412698410000132e-01,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,83
8.1418253399998974e-02,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,83
8.1418253399998974e-02,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,83
9.8412698410000132e-01,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,84
8.1418253399998974e-02,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,84
9.8412698410000132e-01,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,84
8.1418253399998974e-02,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,85
0.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,85
0.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,85
8.1418253399998974e-02,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,86
0.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,86
8.1418253399998974e-02,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,86
0.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,87
-5.0000000000000000e-01,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,87
-5.0000000000000000e-01,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,87
0.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,88
-5.0000000000000000e-01,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,88
0.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,88
-5.0000000000000000e-01,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,89
-4.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,89
-4.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,89
-5.0000000000000000e-01,8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,90
-4.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,90
-5.0000000000000000e-01,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,90
