vertex,x,y,z,basis,conductor
113,-6.0000000000000018e+00,2.1000000000000010e+00,8.0000000000000018e+00,113,0
114,-2.0000000000000004e+00,2.1000000000000010e+00,8.0000000000000018e+00,114,0
115,-1.9147802928999986e+00,2.1000000000000010e+00,8.0000000000000018e+00,115,0
116,-1.0000000000000004e+00,2.1000000000000010e+00,8.0000000000000018e+00,116,0
117,-9.8412698410000155e-01,2.1000000000000010e+00,8.0000000000000018e+00,117,0
118,-8.1418253399999099e-02,2.1000000000000010e+00,8.0000000000000018e+00,118,0
119,-1.1787273342524828e-16,2.1000000000000010e+00,8.0000000000000018e+00,119,0
120,4.9999999999999994e-01,2.1000000000000010e+00,8.0000000000000018e+00,120,0
121,4.0000000000000009e+00,2.1000000000000010e+00,8.0000000000000000e+00,121,0
122,4.0000000000000009e+00,2.1000000000000010e+00,6.0000000000000000e+00,122,0
123,4.0000000000000009e+00,2.1000000000000010e+00,5.0000000000000000e+00,123,0
124,4.0000000000000009e+00,2.1000000000000005e+00,-1.4999999999999993e+00,124,0
125,4.0000000000000009e+00,2.1000000000000005e+00,-6.0000000000000000e+00,125,0
