vertex,x,y,z,basis,conductor
108,6.9641101095000018e+00,1.1286513267022939e-15,-8.5999999999999925e+00,0,1
109,6.5000000000000018e+00,1.1300392890202839e-15,-8.5999999999999925e+00,0,1
110,2.1041666666750003e+00,1.1431854172728946e-15,-8.5999999999999925e+00,105,0
111,-5.5000000000000009e+00,1.1659263500322179e-15,-8.5999999999999925e+00,0,2
112,-7.5416666666500038e+00,1.1720321347182264e-15,-8.5999999999999925e+00,0,2
113,-7.5977397706000023e+00,1.1721998262934416e-15,-8.5999999999999925e+00,0,2
114,-9.8333333333000024e+00,1.1788855665086501e-15,-8.5999999999999925e+00,0,2
115,-9.8333333333000024e+00,1.1427689030060310e-15,-8.3365619420999924e+00,0,2
116,-9.8333333333000024e+00,9.0469083708706599e-16,-6.5999999999999943e+00,0,2
117,-9.8333333333000024e+00,8.9751924534053407e-16,-6.5476897913999927e+00,0,2
118,-9.8333333333000024e+00,5.0391371220371021e-16,-3.6766970923999982e+00,0,2
119,-9.8333333333000024e+00,4.5341124938333972e-16,-3.3083277737999959e+00,0,2
120,-9.8333333333000024e+00,4.2139985109955351e-16,-3.0748338744000003e+00,0,2
121,-9.8333333333000024e+00,1.7064869686355778e-16,-1.2458333333249976e+00,0,2
122,-9.8333333333000024e+00,8.2106648822314563e-17,-6.0000000000000431e-01,0,2
123,-9.8333333333000024e+00,5.7899534298146507e-17,-4.2343121930000233e-01,0,2
124,-9.8333333333000024e+00,-5.4990715888477479e-17,3.9999999999999503e-01,0,2
125,-9.8333333333000024e+00,-3.0946302664388032e-16,2.2561429775999944e+00,0,2
126,-9.8333333333000024e+00,-3.9995167091785220e-16,2.9161749516999946e+00,0,2
127,-9.8333333333000024e+00,-7.5285687599843003e-16,5.4902959482999938e+00,0,2
128,-9.8333333333000024e+00,-8.7757490415323067e-16,6.3999999999999977e+00,0,2
129,-9.8333333333000024e+00,-1.0685041207451771e-15,7.7926541694999942e+00,0,2
130,-9.8333333333000024e+00,-1.1517696335748145e-15,8.3999999999999932e+00,0,2
131,-9.1053861357000034e+00,-1.1539466240326259e-15,8.3999999999999932e+00,0,2
