x,y,z,V,triangle
4.0000000000000000e+00,0.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,47
4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,47
4.0000000000000000e+00,-5.0000000000000000e-01,-5.0000000000000003e-02,0.0000000000000000e+00,48
4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,48
4.0000000000000000e+00,-5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,48
4.0000000000000000e+00,0.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,49
4.0000000000000000e+00,1.8181818180000064e-01,-5.0000000000000003e-02,0.0000000000000000e+00,49
4.0000000000000000e+00,1.8181818180000064e-01,0.0000000000000000e+00,0.0000000000000000e+00,49
4.0000000000000000e+00,0.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,50
4.0000000000000000e+00,1.8181818180000064e-01,0.0000000000000000e+00,0.0000000000000000e+00,50
4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,50
4.0000000000000000e+00,1.8181818180000064e-01,-5.0000000000000003e-02,0.0000000000000000e+00,51
4.0000000000000000e+00,5.0000000000000000e-01,-5.0000000000000003e-02,0.0000000000000000e+00,51
4.0000000000000000e+00,5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,51
4.0000000000000000e+00,1.8181818180000064e-01,-5.0000000000000003e-02,0.0000000000000000e+00,52
4.0000000000000000e+00,5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,52
4.0000000000000000e+00,1.8181818180000064e-01,0.0000000000000000e+00,0.0000000000000000e+00,52
4.0000000000000000e+00,5.0000000000000000e-01,-5.0000000000000003e-02,0.0000000000000000e+00,53
4.0000000000000000e+00,8.1818181819999936e-01,-5.0000000000000003e-02,0.0000000000000000e+00,53
4.0000000000000000e+00,8.1818181819999936e-01,0.0000000000000000e+00,0.0000000000000000e+00,53
4.0000000000000000e+00,5.0000000000000000e-01,-5.0000000000000003e-02,0.0000000000000000e+00,54
4.0000000000000000e+00,8.1818181819999936e-01,0.0000000000000000e+00,0.0000000000000000e+00,54
4.0000000000000000e+00,5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,54
4.0000000000000000e+00,8.1818181819999936e-01,-5.0000000000000003e-02,0.0000000000000000e+00,55
4.0000000000000000e+00,1.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,55
4.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,55
4.0000000000000000e+00,8.1818181819999936e-01,-5.0000000000000003e-02,0.0000000000000000e+00,56
4.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,56
4.0000000000000000e+00,8.1818181819999936e-01,0.0000000000000000e+00,0.0000000000000000e+00,56
4.0000000000000000e+00,1.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,57
4.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,57
4.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,57
4.0000000000000000e+00,1.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,58
