vertex,x,y,z,basis,conductor
50,7.9999999999999973e+00,-4.9999999999999878e-02,6.0000000000000018e+00,50,0
51,7.9999999999999982e+00,-4.9999999999999947e-02,1.3255713176934454e-15,51,0
52,7.9999999999999982e+00,-4.9999999999999954e-02,-4.9999999999999867e-01,52,0
53,7.9999999999999982e+00,-4.9999999999999954e-02,-5.4975481179999841e-01,53,0
54,7.9999999999999991e+00,-5.0000000000000010e-02,-5.4096645219999981e+00,54,0
55,7.9999999999999991e+00,-4.5822274916156690e-17,-7.9999999999999982e+00,55,1
56,3.9002337588000007e+00,-1.7974862554676330e-17,-7.9999999999999991e+00,56,1
57,1.9763412185000004e+00,-4.9069397130002356e-18,-8.0000000000000000e+00,57,1
58,5.0000000000000067e-01,5.1210180482662538e-18,-8.0000000000000000e+00,58,1
59,-1.1576710718999983e+00,1.6380647788859676e-17,-8.0000000000000000e+00,59,1
60,-1.9999999999999987e+00,2.2102115703073902e-17,-8.0000000000000000e+00,60,1
61,-5.9999999999999973e+00,4.9271871950766139e-17,-8.0000000000000018e+00,61,0
62,-5.9999999999999973e+00,6.1414936282603789e-17,-7.0000000000000009e+00,62,0
63,-5.9999999999999982e+00,1.4641638660546734e-16,-1.3149500463474653e-15,63,0
64,-5.9999999999999982e+00,1.5248791877138616e-16,4.9999999999999867e-01,64,0
65,-5.9999999999999991e+00,2.1927477259649323e-16,5.9999999999999991e+00,65,0
66,-5.9999999999999991e+00,2.4356090126016851e-16,7.9999999999999991e+00,66,0
67,-2.0000000000000004e+00,2.1639114501247630e-16,8.0000000000000000e+00,67,1
68,-1.9672740796000028e+00,2.1616885619241397e-16,8.0000000000000000e+00,68,1
69,-1.0000000000000002e+00,2.0959870595055324e-16,8.0000000000000000e+00,69,1
70,-8.9604480200002556e-02,2.0341489986006398e-16,8.0000000000000000e+00,70,1
71,-5.7540412061076006e-16,2.0280626688863018e-16,8.0000000000000000e+00,71,1
72,1.4999999999999991e+00,1.9261760829574559e-16,8.0000000000000000e+00,72,0
73,5.9999999999999973e+00,1.6205163251709182e-16,8.0000000000000018e+00,73,1
